occurrence_no,collection_no,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma,lat,lng,cc,state,formation,geological_group,phylum,class,order,family,genus,mid_ma,period_group,has_valid_coords,dataset_type,continente,order_raggruppato,categoria,possibile_aviano_residuo
130209,10755,Chaoyangsaurus youngi,species,Late Kimmeridgian,Valanginian,152.21,132.6,42.9333,123.966698,CN,Liaoning,Tuchengzi,,Chordata,Ornithischia,Ornithischia,Chaoyangsauridae,Chaoyangsaurus,142.405,Giurassico,True,Dinosauria,Asia,Ornithischia,Erbivoro,False
130294,10764,Protarchaeopteryx robusta,species,Late Barremian,Early Aptian,125.77,119.57,41.799999,120.73333,CN,Liaoning,Yixian,Jehol,Chordata,Reptilia,Saurischia,Archaeopterygidae,Protarchaeopteryx,122.66999999999999,Cretaceo,True,Dinosauria,Asia,Saurischia,Erbivoro/Incertezza,False
130295,10764,Caudipteryx zoui,species,Late Barremian,Early Aptian,125.77,119.57,41.799999,120.73333,CN,Liaoning,Yixian,Jehol,Chordata,Reptilia,Saurischia,Caudipterygidae,Caudipteryx,122.66999999999999,Cretaceo,True,Dinosauria,Asia,Saurischia,Erbivoro/Incertezza,False
137486,11582,Theropoda,unranked clade,Middle Campanian,Late Campanian,83.6,72.2,43.299999,99.599998,MN,Omnogov,Baruungoyot,,Chordata,Reptilia,,,,77.9,Cretaceo,True,Dinosauria,Asia,,Altro/Non Classificato,False
138867,22634,Dinosauria,unranked clade,Berriasian,Aptian,143.1,113.2,30.538889,34.726665,IL,Negev,Hatira,,Chordata,Reptilia,,,,128.15,Cretaceo,True,Dinosauria,Asia,,Altro/Non Classificato,False
139242,11890,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2,50.740726,-111.528732,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,Gorgosaurus,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
139249,11892,Hadrosauridae,family,Late Campanian,,83.6,72.2,50.753296,-111.461914,CA,Alberta,Dinosaur Park,Belly River,Chordata,Ornithischia,Ornithischia,Hadrosauridae,,77.9,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
139250,11893,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2,50.737015,-111.549347,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,Gorgosaurus,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
139251,11894,Centrosaurus apertus,species,Late Campanian,,83.6,72.2,50.737297,-111.528931,CA,Alberta,Dinosaur Park,Belly River,Chordata,Ornithischia,Ornithischia,Ceratopsidae,Centrosaurus,77.9,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
139252,11895,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2,50.723866,-111.564636,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,Gorgosaurus,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
139253,11896,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2,50.740471,-111.525337,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,Gorgosaurus,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
139254,11897,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2,50.786999,-111.601021,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,Gorgosaurus,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
139255,11898,Albertosaurus sarcophagus,species,Late Maastrichtian,,72.2,66.0,51.8046,-112.981903,CA,Alberta,Scollard,Edmonton,Chordata,Reptilia,Saurischia,Tyrannosauridae,Albertosaurus,69.1,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
