id,nome,rango,intervallo_iniziale,intervallo_finale,eta_massima,eta_minima,longitudine,latitudine,codice_paese,stato_regione,formazione,gruppo_geologico,phylum,classe,ordine,famiglia,genere,origine_dataset,fonte_riempimento_tassonomia
130209,Chaoyangsaurus youngi,species,Late Kimmeridgian,Valanginian,152.21,132.6,123.966698,42.9333,CN,Liaoning,Tuchengzi,,Chordata,Ornithischia,Ornithischia,Chaoyangsauridae,Chaoyangsaurus,0,dataset_extra_dinosauri
130294,Protarchaeopteryx robusta,species,Late Barremian,Early Aptian,125.77,119.57,120.73333,41.799999,CN,Liaoning,Yixian,Jehol,Chordata,Reptilia,Saurischia,Archaeopterygidae,Protarchaeopteryx,0,dataset_extra_dinosauri
130295,Caudipteryx zoui,species,Late Barremian,Early Aptian,125.77,119.57,120.73333,41.799999,CN,Liaoning,Yixian,Jehol,Chordata,Reptilia,Saurischia,Caudipterygidae,Caudipteryx,0,dataset_extra_dinosauri
139242,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2,-111.528732,50.740726,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,Gorgosaurus,0,dataset_extra_dinosauri
139249,Hadrosauridae,family,Late Campanian,,83.6,72.2,-111.461914,50.753296,CA,Alberta,Dinosaur Park,Belly River,Chordata,Ornithischia,Ornithischia,Hadrosauridae,,0,post_dataset_extra_famiglia_to_ordine
139250,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2,-111.549347,50.737015,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,Gorgosaurus,0,dataset_extra_dinosauri
139251,Centrosaurus apertus,species,Late Campanian,,83.6,72.2,-111.528931,50.737297,CA,Alberta,Dinosaur Park,Belly River,Chordata,Ornithischia,Ornithischia,Ceratopsidae,Centrosaurus,0,dataset_extra_dinosauri
139252,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2,-111.564636,50.723866,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,Gorgosaurus,0,dataset_extra_dinosauri
139253,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2,-111.525337,50.740471,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,Gorgosaurus,0,dataset_extra_dinosauri
139254,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2,-111.601021,50.786999,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,Gorgosaurus,0,dataset_extra_dinosauri
139255,Albertosaurus sarcophagus,species,Late Maastrichtian,,72.2,66.0,-112.981903,51.8046,CA,Alberta,Scollard,Edmonton,Chordata,Reptilia,Saurischia,Tyrannosauridae,Albertosaurus,0,dataset_extra_dinosauri
139256,Albertosaurus sarcophagus,species,Early Maastrichtian,,72.2,66.0,-112.981903,51.819099,CA,Alberta,Horseshoe Canyon,Edmonton,Chordata,Reptilia,Saurischia,Tyrannosauridae,Albertosaurus,0,dataset_extra_dinosauri
139257,Albertosaurus sarcophagus,species,Early Maastrichtian,,72.2,66.0,-112.818901,51.542702,CA,Alberta,Horseshoe Canyon,Edmonton,Chordata,Reptilia,Saurischia,Tyrannosauridae,Albertosaurus,0,dataset_extra_dinosauri
