nome,rango,genere,famiglia,ordine,classe,phylum,origine_dataset,fonte_riempimento_tassonomia
Isisaurus colberti,species,Isisaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Amygdalodon patagonicus,species,Amygdalodon,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Lewisuchus admixtus,species,Lewisuchus,Silesauridae,,Ornithischia,Chordata,0,
Scutellosaurus lawleri,species,Scutellosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Goyocephale lattimorei,species,Goyocephale,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Efraasia minor,species,Efraasia,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Ichthyornis dispar,species,Ichthyornis,,Ichthyornithes,Reptilia,Chordata,0,
Megaloolithus siruguei,species,Megaloolithus,Megaloolithidae,,Saurischia,Chordata,0,
Owenodon,genus,Owenodon,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Hispanosauropus hauboldi,species,Hispanosauropus,,,Reptilia,Chordata,0,
Macroolithus rugustus,species,Macroolithus,Elongatoolithidae,,Reptilia,Chordata,0,
Paraspheroolithus irenensis,species,Paraspheroolithus,Spheroolithidae,,Ornithischia,Chordata,0,
Patagopteryx deferrariisi,species,Patagopteryx,,,Reptilia,Chordata,0,
Neuquenornis volans,species,Neuquenornis,Avisauridae,,Reptilia,Chordata,0,
Graciliceratops mongoliensis,species,Graciliceratops,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Gobipteryx minuta,species,Gobipteryx,,,Reptilia,Chordata,0,
Dendroolithus,genus,Dendroolithus,Phaceloolithidae,,Reptilia,Chordata,0,
Eolambia caroljonesa,species,Eolambia,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Megaloolithus jabalpurensis,species,Megaloolithus,Megaloolithidae,,Saurischia,Chordata,0,
Iguanodon bernissartensis,species,Iguanodon,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Kotasaurus yamanpalliensis,species,Kotasaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Camptosaurus,genus,Camptosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Liliensternus,genus,Liliensternus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Potamornis skutchi,species,Potamornis,,Hesperornithiformes,Reptilia,Chordata,0,
Sauroposeidon proteles,species,Sauroposeidon,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Macroolithus yaotunensis,species,Macroolithus,Elongatoolithidae,,Reptilia,Chordata,0,
Ovaloolithus chinkangkouensis,species,Ovaloolithus,Ovaloolithidae,,Ornithischia,Chordata,0,
