genere,genere_key,phylum,classe,ordine,famiglia,fonte_lookup
aardonyx,aardonyx,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
abelisaurus,abelisaurus,Chordata,Reptilia,Saurischia,Abelisauridae,data.csv_taxonomy
achelousaurus,achelousaurus,Chordata,Reptilia,Ornithischia,Ceratopsidae,data.csv_taxonomy
achillobator,achillobator,Chordata,Reptilia,Saurischia,Dromaeosauridae,data.csv_taxonomy
acrocanthosaurus,acrocanthosaurus,Chordata,Reptilia,Saurischia,Carcharodontosauridae,data.csv_taxonomy
aegyptosaurus,aegyptosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
afrovenator,afrovenator,Chordata,Reptilia,Saurischia,Megalosauridae,data.csv_taxonomy
agilisaurus,agilisaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
alamosaurus,alamosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
albertaceratops,albertaceratops,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
albertosaurus,albertosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,data.csv_taxonomy
alectrosaurus,alectrosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
alioramus,alioramus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,data.csv_taxonomy
alvarezsaurus,alvarezsaurus,Chordata,Reptilia,Saurischia,Alvarezsauridae,data.csv_taxonomy
amargasaurus,amargasaurus,Chordata,Reptilia,Saurischia,Dicraeosauridae,data.csv_taxonomy
ammosaurus,ammosaurus,Chordata,Reptilia,Saurischia,Anchisauridae,data.csv_taxonomy
ampelosaurus,ampelosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
amygdalodon,amygdalodon,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
anchiceratops,anchiceratops,Chordata,Reptilia,Ornithischia,Ceratopsidae,data.csv_taxonomy
anchisaurus,anchisaurus,Chordata,Reptilia,Saurischia,Anchisauridae,data.csv_taxonomy
ankylosaurus,ankylosaurus,Chordata,Reptilia,Ornithischia,Ankylosauridae,data.csv_taxonomy
anserimimus,anserimimus,Chordata,Reptilia,Saurischia,Ornithomimidae,data.csv_taxonomy
antarctosaurus,antarctosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
apatosaurus,apatosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,data.csv_taxonomy
aragosaurus,aragosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
aralosaurus,aralosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
archaeoceratops,archaeoceratops,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
archaeopteryx,archaeopteryx,Chordata,Reptilia,Saurischia,Archaeopterygidae,data.csv_taxonomy
archaeornithomimus,archaeornithomimus,Chordata,Reptilia,Saurischia,Ornithomimidae,data.csv_taxonomy
argentinosaurus,argentinosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
arrhinoceratops,arrhinoceratops,Chordata,Reptilia,Ornithischia,Ceratopsidae,data.csv_taxonomy
atlascopcosaurus,atlascopcosaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
aucasaurus,aucasaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
austrosaurus,austrosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
avaceratops,avaceratops,Chordata,Reptilia,Ornithischia,Ceratopsidae,data.csv_taxonomy
avimimus,avimimus,Chordata,Reptilia,Saurischia,Avimimidae,data.csv_taxonomy
bactrosaurus,bactrosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
bagaceratops,bagaceratops,Chordata,Reptilia,Ornithischia,Bagaceratopsidae,data.csv_taxonomy
bambiraptor,bambiraptor,Chordata,Reptilia,Saurischia,Dromaeosauridae,data.csv_taxonomy
barapasaurus,barapasaurus,Chordata,Reptilia,Saurischia,Cetiosauridae,data.csv_taxonomy
barosaurus,barosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,data.csv_taxonomy
baryonyx,baryonyx,Chordata,Reptilia,Saurischia,Spinosauridae,data.csv_taxonomy
becklespinax,becklespinax,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
beipiaosaurus,beipiaosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
bellusaurus,bellusaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
borogovia,borogovia,Chordata,Reptilia,Saurischia,Troodontidae,data.csv_taxonomy
brachiosaurus,brachiosaurus,Chordata,Reptilia,Saurischia,Brachiosauridae,data.csv_taxonomy
brachylophosaurus,brachylophosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
brachytrachelopan,brachytrachelopan,Chordata,Reptilia,Saurischia,Dicraeosauridae,data.csv_taxonomy
buitreraptor,buitreraptor,Chordata,Reptilia,Saurischia,Dromaeosauridae,data.csv_taxonomy
camarasaurus,camarasaurus,Chordata,Reptilia,Saurischia,Camarasauridae,data.csv_taxonomy
camptosaurus,camptosaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
carcharodontosaurus,carcharodontosaurus,Chordata,Reptilia,Saurischia,Carcharodontosauridae,data.csv_taxonomy
carnotaurus,carnotaurus,Chordata,Reptilia,Saurischia,Abelisauridae,data.csv_taxonomy
caudipteryx,caudipteryx,Chordata,Reptilia,Saurischia,Caudipterygidae,data.csv_taxonomy
cedarpelta,cedarpelta,Chordata,Reptilia,Ornithischia,Ankylosauridae,data.csv_taxonomy
centrosaurus,centrosaurus,Chordata,Reptilia,Ornithischia,Ceratopsidae,data.csv_taxonomy
ceratosaurus,ceratosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
cetiosauriscus,cetiosauriscus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
cetiosaurus,cetiosaurus,Chordata,Reptilia,Saurischia,Cetiosauridae,data.csv_taxonomy
chaoyangsaurus,chaoyangsaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
